<<<<<<< HEAD
a,my-min
280,-0.41283
300,-0.47069
320,-0.66548
360,-0.68602
400,-0.68224
450,-0.70102
500,-0.699
=======
a,my-min
280,-0.41283
300,-0.47069
320,-0.66548
360,-0.68602
400,-0.68224
450,-0.70102
500,-0.699
>>>>>>> c65a0514e109735c6ee153d67d658e54aa605dce
1000,-0.72351
